State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7063343018027644	0.12142862033286733	0.0	0.034705544952861184	0.0	8.55673315472066E-4	0.03827792436609354	0.056797354100908866	0.03181953901838442	0.009781042110648348
2	0.14204076176117433	0.8018239219434311	0.029816073279430987	0.01110632087511917	0.006503809304527719	0.0	0.003744415410264955	0.0034548196486797206	0.0	0.0015098777773718739
3	0.0	0.014447157016003515	0.7951796886681732	0.17982583680450545	0.005141538345699253	0.0	0.002846685189877441	0.0016205592771964333	0.0	9.385346985446815E-4
4	0.01023272579649216	0.0028685365928568956	0.0908213395511045	0.6684809837528191	0.004885197383467838	0.004210872260399619	0.14196299524626269	0.07045301766874106	0.0013208633983495715	0.004763468349506628
5	0.0	0.011008597539010328	0.018411571710429665	0.03303916256080832	0.7772873092862869	0.14780962153355545	0.009319609639545666	0.0028771606911945323	0.0	2.46967039169219E-4
6	2.1824930150356937E-4	0.0	0.0	0.0026107906882046005	0.012111166020689963	0.954230664389154	0.030648590696908	0.0	3.715383626090226E-5	1.4338506727907415E-4
7	0.0019887550621136662	1.7966481980453863E-4	2.4863762430961953E-4	0.024795642760299583	2.731543387908766E-4	0.008800486643803554	0.9582956047162507	0.0017398590522371893	0.0	0.0036781949823901506
8	5.636825637506782E-4	2.934623802827471E-5	2.754251615645327E-5	0.0022878755183349773	1.1211226353163101E-5	0.0	2.999455321779417E-4	0.9901630670462013	0.0035164823911034144	0.003100846967893805
9	0.004185966925031395	0.0	0.0	5.60510691809444E-4	0.0	1.612548710055672E-5	0.0	0.047190900646954075	0.943986517553279	0.004059978695825499
10	0.013580125845806541	0.0014293000835361768	0.0018176578344992309	0.019449605998391604	1.7863552489602645E-4	0.0016385866100490397	0.0863547961498824	0.3975030310905631	0.03797382056605383	0.440074440296322
